1998.08.09,00:00,1.62850,1.63750,1.61470,1.61920,44532
1998.08.16,00:00,1.61920,1.64040,1.60750,1.63680,44767
1998.08.23,00:00,1.63550,1.68520,1.63250,1.68110,42011
1998.08.30,00:00,1.68270,1.69040,1.66040,1.67050,33025
1998.09.06,00:00,1.66930,1.69500,1.65000,1.67280,34217
1998.09.13,00:00,1.67050,1.69440,1.66800,1.68350,85027
1998.09.20,00:00,1.67840,1.70860,1.67050,1.69600,78708
1998.09.27,00:00,1.69750,1.71850,1.69150,1.69920,67309
1998.10.04,00:00,1.70000,1.73670,1.67650,1.71010,72290
1998.10.11,00:00,1.70000,1.71280,1.68620,1.70270,73240
1998.10.18,00:00,1.70230,1.71200,1.68590,1.68760,69526
1998.10.25,00:00,1.68500,1.68890,1.66200,1.67550,60636
1998.11.01,00:00,1.67600,1.67890,1.64970,1.66030,57378
1998.11.08,00:00,1.65750,1.67100,1.65140,1.66300,50402
1998.11.15,00:00,1.66330,1.68060,1.65020,1.65630,46275
1998.11.22,00:00,1.65610,1.66550,1.64400,1.65130,55150
1998.11.29,00:00,1.65370,1.67350,1.64240,1.66620,59248
1998.12.06,00:00,1.66090,1.69230,1.64630,1.69180,66694
1998.12.13,00:00,1.68690,1.69500,1.68010,1.68320,25940
1999.01.03,00:00,1.66860,1.67200,1.63570,1.64050,27298
1999.01.10,00:00,1.63980,1.66460,1.62330,1.65020,29254
1999.01.17,00:00,1.64910,1.66260,1.64190,1.65650,24839
1999.01.24,00:00,1.65510,1.66280,1.64190,1.64500,24037
1999.01.31,00:00,1.64690,1.64810,1.62980,1.63310,25714
1999.02.07,00:00,1.63270,1.64130,1.61880,1.63500,25464
1999.02.14,00:00,1.63450,1.63950,1.62020,1.62200,22796
1999.02.21,00:00,1.62250,1.62660,1.59520,1.60380,23201
1999.02.28,00:00,1.59970,1.62250,1.59520,1.60500,22499
1999.03.07,00:00,1.60130,1.64290,1.60040,1.63190,24657
1999.03.14,00:00,1.63080,1.63320,1.61750,1.62830,23586
1999.03.21,00:00,1.62820,1.64800,1.61740,1.62310,24877
1999.03.28,00:00,1.62270,1.62430,1.60120,1.60370,18064
1999.04.04,00:00,1.60370,1.61210,1.58410,1.60870,21506
1999.04.11,00:00,1.60720,1.62100,1.60310,1.61330,23579
1999.04.18,00:00,1.61240,1.62390,1.60420,1.61550,23984
1999.04.25,00:00,1.61340,1.62220,1.60600,1.60950,24269
1999.05.02,00:00,1.60970,1.64350,1.60630,1.62960,27272
1999.05.09,00:00,1.62970,1.63530,1.61370,1.61900,23587
1999.05.16,00:00,1.62120,1.62570,1.60030,1.60060,24449
1999.05.23,00:00,1.60150,1.60550,1.58820,1.60140,23003
1999.05.30,00:00,1.60290,1.61410,1.59850,1.61030,24159
1999.06.06,00:00,1.61020,1.61810,1.59820,1.61680,25663
1999.06.13,00:00,1.61420,1.61650,1.58550,1.59610,30331
1999.06.20,00:00,1.59450,1.59610,1.57400,1.58620,27745
1999.06.27,00:00,1.58670,1.58750,1.56930,1.57870,24130
1999.07.04,00:00,1.57820,1.57890,1.54700,1.54870,23067
1999.07.11,00:00,1.55000,1.57030,1.54830,1.56190,24098
1999.07.18,00:00,1.56300,1.58740,1.55700,1.57760,23016
1999.07.25,00:00,1.57820,1.62560,1.57820,1.62150,24185
1999.08.01,00:00,1.62030,1.62830,1.60760,1.60840,28657
1999.08.08,00:00,1.60930,1.61900,1.60110,1.60450,25617
1999.08.15,00:00,1.60600,1.62220,1.59550,1.61530,27141
1999.08.22,00:00,1.61560,1.61850,1.58320,1.58800,26725
1999.08.29,00:00,1.58920,1.61570,1.58550,1.60200,26500
1999.09.05,00:00,1.60320,1.63750,1.59940,1.61850,29659
1999.09.12,00:00,1.61990,1.62670,1.59860,1.62350,30795
1999.09.19,00:00,1.62290,1.64700,1.61950,1.64180,30287
1999.09.26,00:00,1.64170,1.65720,1.63940,1.65480,27580
1999.10.03,00:00,1.65490,1.66030,1.64730,1.65250,27986
1999.10.10,00:00,1.65150,1.67270,1.64940,1.66750,27075
1999.10.17,00:00,1.66900,1.67950,1.65320,1.65390,29401
1999.10.24,00:00,1.65680,1.66500,1.63260,1.64290,31570
1999.10.31,00:00,1.64410,1.65190,1.61580,1.61850,32277
1999.11.07,00:00,1.62280,1.62930,1.61000,1.61600,27523
1999.11.14,00:00,1.61480,1.62900,1.61210,1.61890,29476
1999.11.21,00:00,1.61950,1.62760,1.60200,1.60690,30924
1999.11.28,00:00,1.60580,1.60860,1.59110,1.60220,30299
1999.12.05,00:00,1.60170,1.63120,1.59910,1.62150,27571
1999.12.12,00:00,1.62240,1.62610,1.60220,1.60400,26616
1999.12.19,00:00,1.60620,1.62300,1.60190,1.61510,26455
1999.12.26,00:00,1.61610,1.62130,1.61120,1.61560,16135
2000.01.02,00:00,1.61460,1.65110,1.61380,1.63940,28316
2000.01.09,00:00,1.63870,1.65090,1.63130,1.63530,31810
2000.01.16,00:00,1.63450,1.65810,1.62970,1.64880,31073
2000.01.23,00:00,1.64640,1.65600,1.61550,1.61950,30813
2000.01.30,00:00,1.62210,1.62610,1.58300,1.59160,34539
2000.02.06,00:00,1.59100,1.61770,1.58700,1.59440,38729
2000.02.13,00:00,1.59300,1.61400,1.58420,1.60210,34921
2000.02.20,00:00,1.60010,1.61960,1.58850,1.59490,35054
2000.02.27,00:00,1.59050,1.60230,1.57510,1.57750,36694
2000.03.05,00:00,1.57970,1.58770,1.56920,1.57680,34606
2000.03.12,00:00,1.57730,1.58330,1.56780,1.57630,36820
2000.03.19,00:00,1.57540,1.59570,1.56140,1.59560,37111
2000.03.26,00:00,1.59290,1.60080,1.58110,1.59110,37404
2000.04.02,00:00,1.59120,1.60820,1.57750,1.57940,32157
2000.04.09,00:00,1.57990,1.59330,1.57660,1.58800,32513
2000.04.16,00:00,1.58920,1.59460,1.57470,1.57760,31514
2000.04.23,00:00,1.57670,1.58260,1.55050,1.55210,34319
2000.04.30,00:00,1.55350,1.56730,1.52450,1.53030,32485
2000.05.07,00:00,1.52790,1.53710,1.49280,1.51610,40413
2000.05.14,00:00,1.52240,1.52300,1.47530,1.48850,35374
2000.05.21,00:00,1.48620,1.49670,1.46640,1.49000,39484
2000.05.28,00:00,1.48880,1.51290,1.48580,1.51010,34562
2000.06.04,00:00,1.51030,1.53140,1.50080,1.51010,38437
2000.06.11,00:00,1.50850,1.51820,1.49520,1.51520,37747
2000.06.18,00:00,1.51470,1.52030,1.49440,1.49940,38208
2000.06.25,00:00,1.50110,1.52120,1.49360,1.51730,37164
2000.07.02,00:00,1.51680,1.51970,1.50400,1.51310,35844
2000.07.09,00:00,1.51510,1.51960,1.49680,1.50210,37650
2000.07.16,00:00,1.50060,1.52010,1.49040,1.51700,37004
2000.07.23,00:00,1.51760,1.52230,1.49870,1.50230,34680
2000.07.30,00:00,1.50280,1.50800,1.48270,1.50540,33482
2000.08.06,00:00,1.50460,1.51430,1.49470,1.50230,31054
2000.08.13,00:00,1.50220,1.51430,1.48750,1.49000,34712
2000.08.20,00:00,1.49020,1.49360,1.46890,1.46930,34514
2000.08.27,00:00,1.47080,1.47370,1.44190,1.46380,34205
2000.09.03,00:00,1.46270,1.46600,1.41370,1.41390,36849
2000.09.10,00:00,1.41400,1.42310,1.39500,1.39730,38701
2000.09.17,00:00,1.39870,1.47580,1.39590,1.45320,37191
2000.09.24,00:00,1.45720,1.48020,1.45000,1.47610,37602
2000.10.01,00:00,1.47640,1.47790,1.44220,1.44560,34956
2000.10.08,00:00,1.44690,1.48040,1.44540,1.45200,35345
2000.10.15,00:00,1.45180,1.46160,1.43420,1.45150,40572
2000.10.22,00:00,1.45280,1.45810,1.41910,1.45530,41564
2000.10.29,00:00,1.45430,1.46760,1.43940,1.45040,44876
2000.11.05,00:00,1.44940,1.45200,1.41290,1.42590,45423
2000.11.12,00:00,1.42650,1.44280,1.41970,1.42230,41179
2000.11.19,00:00,1.42240,1.42960,1.39570,1.39990,39225
2000.11.26,00:00,1.40080,1.44510,1.40010,1.44190,44597
2000.12.03,00:00,1.43950,1.45560,1.43080,1.45170,48898
2000.12.10,00:00,1.44620,1.47810,1.44290,1.47570,46953
2000.12.17,00:00,1.47360,1.48420,1.46060,1.47690,49014
2000.12.24,00:00,1.47700,1.49830,1.47400,1.49590,34459
2000.12.31,00:00,1.49310,1.50980,1.48820,1.50410,39730
2001.01.07,00:00,1.50360,1.51060,1.47550,1.47730,45035
2001.01.14,00:00,1.47840,1.48080,1.46260,1.46290,46913
2001.01.21,00:00,1.46370,1.47440,1.44630,1.46150,49468
2001.01.28,00:00,1.46120,1.48380,1.45530,1.46890,45592
2001.02.04,00:00,1.46900,1.47850,1.43720,1.44460,46508
2001.02.11,00:00,1.44550,1.46140,1.44400,1.44870,44677
2001.02.18,00:00,1.44740,1.45580,1.43100,1.45510,44873
2001.02.25,00:00,1.45350,1.47630,1.43880,1.46780,46468
2001.03.04,00:00,1.46960,1.47520,1.45740,1.46940,44764
2001.03.11,00:00,1.46720,1.46990,1.42510,1.43260,52670
2001.03.18,00:00,1.43110,1.43950,1.41790,1.42510,46528
2001.03.25,00:00,1.42760,1.44270,1.41510,1.41630,48640
2001.04.01,00:00,1.41440,1.44130,1.41380,1.43980,45718
2001.04.08,00:00,1.44080,1.45020,1.42700,1.43720,38082
2001.04.15,00:00,1.43700,1.44880,1.41850,1.44120,39707
2001.04.22,00:00,1.44210,1.44780,1.43090,1.43860,45014
2001.04.29,00:00,1.43500,1.44530,1.42640,1.43930,37851
2001.05.06,00:00,1.43760,1.44170,1.41310,1.41900,41214
2001.05.13,00:00,1.41940,1.44060,1.41540,1.43950,41131
2001.05.20,00:00,1.43930,1.44200,1.40700,1.42250,45630
2001.05.27,00:00,1.42230,1.42760,1.41170,1.41750,41464
2001.06.03,00:00,1.41850,1.42170,1.37720,1.37860,44462
2001.06.10,00:00,1.38220,1.41090,1.36820,1.40310,44376
2001.06.17,00:00,1.40430,1.41960,1.39050,1.41330,43993
2001.06.24,00:00,1.41230,1.42310,1.40300,1.41630,43186
2001.07.01,00:00,1.41610,1.41810,1.39640,1.41200,38768
2001.07.08,00:00,1.41060,1.41920,1.39780,1.40450,41067
2001.07.15,00:00,1.40350,1.43570,1.39270,1.42790,47094
2001.07.22,00:00,1.42390,1.43170,1.41530,1.42380,46231
2001.07.29,00:00,1.42260,1.43610,1.42060,1.42930,44422
2001.08.05,00:00,1.42830,1.42870,1.41210,1.42310,44158
2001.08.12,00:00,1.42360,1.45220,1.41640,1.44510,47563
2001.08.19,00:00,1.44500,1.45910,1.44060,1.44280,46158
2001.08.26,00:00,1.44330,1.46270,1.43740,1.45420,45438
2001.09.02,00:00,1.45280,1.46370,1.44040,1.46100,48516
2001.09.09,00:00,1.46080,1.47920,1.45300,1.47210,49018
